title,authors,affiliations,keywords,abstract,venue,year,track_or_issue_name,volume_number,issue,issue_name,pages,length,citations,url
Streamlining Personal Data Access Requests: From Obstructive Procedures to Automated Web Workflows,"Nicola Leschke, Florian Kirsten, Frank Pallas & Elias Grünewald","TU Berlin, Information Systems Engineering, Berlin, Germany",Data Subject Access Request; Process Automation; Web Automation; Privacy; Privacy Engineering; Data Access; Data Portability; GDPR,"Transparency and data portability are two core principles of modern privacy legislations such as the GDPR. From the regulatory perspective, providing individuals (data subjects) with access to their data is a main building block for implementing these. Different from other privacy principles and respective regulatory provisions, however, this right to data access has so far only seen marginal technical reflection. Processes related to performing data subject access requests (DSARs) are thus still to be executed manually, hindering the concept of data access from unfolding its full potential.",International Conference on Web Engineering,2023,,,,,111-125,2,6,https://link.springer.com/chapter/10.1007/978-3-031-34444-2_9
Language Models as SPARQL Query Filtering for Improving the Quality of Multilingual Question Answering over Knowledge Graphs,"Aleksandr Perevalov, Aleksandr Gashkov & Andreas Both; Andreas Both; Maria Eltsova","CBZ München GmbH, Heilbronn, Germany; Leipzig University of Applied Sciences, Leipzig, Germany; DATEV eG, Nuremberg, Germany",,"Question Answering systems working over Knowledge Graphs (KGQA) generate a ranked list of SPARQL query candidates for a given natural-language question. In this paper, we follow our long-term research agenda of providing trustworthy KGQA systems – here – by presenting a query filtering approach that utilizes (large) language models (LMs/LLMs), s.t., correct and incorrect queries can be distinguished. In contrast to the previous work, we address here multilingual questions represented in major languages (English, German, French, Spanish, and Russian), and confirm the generalizability of our approach by also evaluating it on low-resource languages (Ukrainian, Armenian, Lithuanian, Belarusian, and Bashkir). For our experiments, we used the following LMs: BERT, DistilBERT, Mistral, Zephyr, GPT-3.5, and GPT-4. The LMs were applied to the KGQA systems – QAnswer and MemQA – as SPARQL query filters. The approach was evaluated on the multilingual Wikidata-based dataset QALD-9-plus. The experimental results suggest that the KGQA systems achieve quality improvements for all languages when using our query-filtering approach.",International Conference on Web Engineering,2024,,,,,Mar-18,2,1,https://link.springer.com/chapter/10.1007/978-3-031-62362-2_1
The Open V2X Management Platform,"Christos Dalamagkas, Angelos Georgakis, Kostas Hrissagis-Chrysagis & George Papadakis","EU Programs Coordination Department, Public Power Corporation, Athens, Greece",,"In this paper, we present an open-source web-based system, called Open V2X Management Platform (O-V2X-MP), which facilitates the management of charging points for electric vehicles with the goal of realizing Vehicle-to-Everything (V2X) scenarios. We describe its backend, which is composed of numerous components through a microservices architecture leveraging Docker containers. Using the C4 model methodology, we present the system context diagram with the main actors that interact with O-V2X-MP, the container diagram with the main communication flows between its components and the component diagram with the modules comprising the core of the platform. We also delve into the value-added services of O-V2X-MP, namely the billing engine, the REST APIs that enable interconnections and integration with external systems, the data analytics capabilities and the cyber-security module. We conclude with our future plans for the platform’s frontend.",International Conference on Web Engineering,2024,,,,,133-146,2,2,https://link.springer.com/chapter/10.1007/978-3-031-62362-2_10
DyST: Dynamic Specification Mining for Heterogenous IoT Systems with WoT,Ege Korkan; Silvia Oliva Ramirez & Sebastian Steinhorst,"Technical University of Munich, Munich, Bavaria, Germany; Siemens, Munich, Bavaria, Germany",,"The comprehension of a distributed system and its verification is one of the most challenging problems in today’s software engineering, commonly referred to as observability. The complexity increases when one cannot control all the components, like in IoT systems composed of third-party devices. The Web of Things standards by the W3C help with this by describing what one can do with an IoT device via network messages. However, no work has leveraged these standards to offer an observability solution that works with any set of IoT devices. This work addresses this gap by proposing a method to verify the correctness of the system by mining its specification from device interactions. Our approach can reverse engineer complex application logic in the form of UML Sequence Diagrams from the analysis of network messages of any protocol between the devices during system runtime, which can be used to programmatically assert the correctness of the mined specification. We have evaluated our approach with three case studies to assess our mining technique, the performance of our algorithms, and the applicability of our contributions to system verification in the IoT. Our results show that our approach can produce accurate Sequence Diagrams that help understand and verify the behavior of IoT systems.",International Conference on Web Engineering,2024,,,,,147-162,2,0,https://link.springer.com/chapter/10.1007/978-3-031-62362-2_11
SeamlessMDD: Framework for Seamless Integration of Generated and Hand-Written Code,"Bojana Dragaš, Nenad Todorović & Gordana Milosavljević; Tijana Rajačić","Faculty of Technical Sciences, University of Novi Sad, Trg Dositeja Obradovića 6, Novi Sad, Serbia; Schneider Electric, Industrijska 3G, Novi Sad, Serbia",,"This paper presents SeamlessMDD - our open-source framework for a gradual and effortless transition from traditional development to MDD (Model-Driven Development) that allows maintaining hand-written and generated code intertwined without the need to adjust the web application architecture or the established way of work. We propose a novel workflow that is based on the following: (1) Incremental and iterative transformations derived from model versions comparison so that only code for affected model elements is generated or modified; (2) Integration of generated and hand-written code using API-based code generators, which operate on syntax trees of target programming languages; (3) Case-specific support for change propagation and conflict resolution (contrary to the VCS-based systems operating on the single line).",International Conference on Web Engineering,2024,,,,,163-177,2,0,https://link.springer.com/chapter/10.1007/978-3-031-62362-2_12
EdgER: Entity Resolution at the Edge for Next Generation Web Systems,"Cristian Martella, Angelo Martella & Antonella Longo","Department of Engineering for Innovation, University of Salento, Lecce, Italy",,"Thanks to the advances of emerging technologies like Edge and Cloud Computing and microservice development, web architectures are evolving to support Big Data platforms fully. The decentralization of the traditional cloud-centric approach pushes microservices towards the edge of the Internet when constraints exist regarding response time, security, and proximity services availability. This work proposes an approach for detecting anomalies at the edge called EdgER based on entity resolution techniques. Such an approach can be adopted for any application providing proximity-added-value service, even in near real-time. In this sense, a case study is provided in the photovoltaics domain. By implementing EdgER’s building blocks at the edge, it is possible to reconcile the received IoT data streams early against a predefined data model and identify near real-time anomalies in energy production and/or in smart photovoltaic panel operations. In general, EdgeER can also significantly contribute to improving the quality of the data managed by the overall Big Data platform and facilitating the implementation of privacy-preserving proximity-added-value services.",International Conference on Web Engineering,2024,,,,,178-196,2,1,https://link.springer.com/chapter/10.1007/978-3-031-62362-2_13
"AuthApp – Portable, Reusable Solid App for GDPR-Compliant Access Granting","Andreas Both, Thorsten Kastner & Dustin Yeboah; Andreas Both; Christoph Braun & Tobias Käfer; Daniel Schraudner, Sebastian Schmid & Andreas Harth","Leipzig University of Applied Sciences, Leipzig, Germany; DATEV eG, Nuremberg, Germany; Friedrich-Alexander-Universität Erlangen-Nürnberg, Erlangen, Germany; Karlsruhe Institute of Technology (KIT), Karlsruhe, Germany",,"The Solid (Social Linked Data) technology family was developed to provide the foundation for Data Sovereignty in the context of web applications. The advantage of this innovative approach is the opportunity to dynamically bind an identity to a Solid application and a user-specific Solid data store (Solid Pod). These three basic components can be combined dynamically, allowing users to share their data with an application while retaining full control of the data in self-managed Solid Pods. This paper presents a prototype of a web-based user interface to grant access to data in a Solid Pod. To enable a dynamic binding into Solid-driven environments, we made the implementation available as a Solid application – AuthApp – with a specific focus on allowing users to configure the data access granting efficiently. To comply with data protection regulations, in particular Europe’s GDPR, we extended the standard to include the validation of the purpose of data sharing. Unlike previous work, we also make full use of robust technologies to avoid the need to copy or store data outside the personal context, meaning all data remains under the user’s control and so does the AuthApp.",International Conference on Web Engineering,2024,,,,,199-214,2,3,https://link.springer.com/chapter/10.1007/978-3-031-62362-2_14
Hook-in Privacy Techniques for gRPC-Based Microservice Communication,"Louis Loechel, Siar-Remzi Akbayin, Elias Grünewald, Jannis Kiesel, Inga Strelnikova, Thomas Janke & Frank Pallas","Information Systems Engineering, Technische Universität Berlin, Berlin, Germany",,"gRPC is at the heart of modern distributed system architectures. Based on HTTP/2 and Protocol Buffers, it provides highly performant, standardized, and polyglot communication across loosely coupled microservices and is increasingly preferred over REST- or GraphQL-based service APIs in practice. Despite its widespread adoption, gRPC lacks any advanced privacy techniques beyond transport encryption and basic token-based authentication. Such advanced techniques are, however, increasingly important for fulfilling regulatory requirements. For instance, anonymizing or otherwise minimizing (personal) data before responding to requests, or pre-processing data based on the purpose of the access may be crucial in certain usecases. In this paper, we therefore propose a novel approach for integrating such advanced privacy techniques into the gRPC framework in a practically viable way. Specifically, we present a general approach along with a working prototype that implements privacy techniques, such as data minimization and purpose limitation, in a configurable, extensible, and gRPC-native way utilizing a gRPC interceptor. We also showcase how to integrate this contribution into a realistic example of a food delivery use case. Alongside these implementations, a preliminary performance evaluation shows practical applicability with reasonable overheads. Altogether, we present a viable solution for integrating advanced privacy techniques into real-world gRPC-based microservice architectures, thereby facilitating regulatory compliance “by design”.",International Conference on Web Engineering,2024,,,,,215-229,2,0,https://link.springer.com/chapter/10.1007/978-3-031-62362-2_15
Trusting Decentralized Web Data in a Solid-Based Social Network,"Valentin Siegert, Dirk Leichsenring & Martin Gaedke","Distributed and Self-organizing Systems, Chemnitz University of Technology, Chemnitz, Germany",,"In our current data-centric society, there is a rising concern among individuals regarding their privacy and the degree of control they have over their personal data. In response to this growing demand for transparency and control, a recent initiative for web re-decentralization has emerged, wherein web applications no longer store data centrally. One of the prominent approaches aimed at re-decentralizing the web is Solid. Solid facilitates data storage in decentralized pods secured with web access control, enabling seamless connectivity of diverse data. However, the integration of decentralized data from various third-party pods in web applications poses a significant challenge, as the data’s trustworthiness may be compromised, potentially leading to malicious or harmful outcomes. Therefore, data integration necessitates a trust-aware decision, i.e., the extent to which the data is trustworthy enough to use despite its high heterogeneity. To enable such trust awareness for web applications utilizing decentralized data, we propose a trust-aware framework called TrADS for decentralized social networks. TrADS leverages the MVC pattern of web applications to integrate external data from Solid pods trust aware. The potentially malicious and harmful status of external data is an end-user concern. A web application must therefore be trust aware to provide a better user experience. Therefore, we evaluate the proposed trust-aware decentralized social network in terms of usability and transparency with 53 end users through an empirical study. The results demonstrate that the trust awareness component in TrADS can support end users in their trustworthy user experience.",International Conference on Web Engineering,2024,,,,,230-245,2,1,https://link.springer.com/chapter/10.1007/978-3-031-62362-2_16
Combining Anti-typosquatting Techniques,"Francesco Blefari, Angelo Furfaro, Giovambattista Ianni & Alessandro Viscomi; Francesco Blefari","IMT Schools for Advanced Studies, Lucca, LU, Italy; University of Calabria, Rende, CS, Italy",,"Typosquatting constitutes a widely used malpractice of domain exploitation that leverages users’ typographical errors when entering URLs. Different techniques have been devised to mitigate this threat and some tools have been developed. However, currently there are almost no tools available to web users. We propose a comprehensive open-source software solution which combines state-of-the-art typosquatting detection techniques and it is freely available as a dedicated extension for the web browser Chrome, named TypoAlert. TypoAlert is designed to automatically detect in real-time when a user visits a typosquatted domain and alerts the user accordingly. An assessment done through the analysis of a significant number of domains shows the effectiveness of the approach.",International Conference on Web Engineering,2024,,,,,246-254,2,0,https://link.springer.com/chapter/10.1007/978-3-031-62362-2_17
The Programmable World and Its Emerging Privacy Nightmare,"Pyry Kotilainen, Tommi Mikkonen & Niko Mäkitalo; Ali Mehraj","University of Jyväskylä, Jyväskylä, Finland; Tampere University, Tampere, Finland",,"So-called programmable world refers to a paradigm where we are surrounded by intelligent, programmable devices that communicate with each other to support us in our daily activities. Furthermore, these systems are intimately addressing data that we produce and consume, both as such as well as via machine learning (ML) and artificial intelligence (AI). The fashion the data is treated in the network is a subject to regulatory, ethical and privacy concerns, however. In this paper, we study data and ML/AI related privacy concerns that emerge in the context of such programmable world, and how to take them into account when realizing the programmable world vision. In particular, we wish to enable composing systems so that constraints emerging from privacy concerns can be satisfied, but without risking the flexibility when composing complex networked systems, where data related operations are essential.",International Conference on Web Engineering,2024,,,,,255-262,2,3,https://link.springer.com/chapter/10.1007/978-3-031-62362-2_18
Weakly-Supervised Left-Center-Right Context-Aware Aspect Category and Sentiment Classification,"Gonem Lau, Flavius Frasincar & Finn van der Knaap","Erasmus University Rotterdam, Burgemeester Oudlaan 50, 3062 PA, Rotterdam, The Netherlands",,"Aspect-Based Sentiment Analysis (ABSA) aims to extract all aspects mentioned in a Web review and classify the aspect category and sentiment for each aspect. Most existing methods rely on single-task supervised approaches. However, ABSA tasks are not independent. Furthermore, obtaining labeled data might be difficult or expensive. The Context-aware Aspect category and Sentiment Classification (CASC) model addresses this issue by classifying categories and sentiments simultaneously using a weakly-supervised approach. However, CASC uses a simple neural network on the input text that does not exploit any other information. This paper proposes an extension named Left-Center-Right+CASC (LCR+CASC), where we implement a sophisticated neural model that exploits the location of explicit aspect expressions. Besides aspect categorization and sentiment classification, LCR+CASC also extracts target expressions from a sentence, which goes beyond CASC’s abilities. This paper conducts two experiments on restaurant reviews: extracting target expressions and using annotated data that provide targets to evaluate the proposed model. Results show that LCR+CASC outperforms CASC when targets are given, and is able to extract target expressions to some extent.",International Conference on Web Engineering,2024,,,,,265-280,2,0,https://link.springer.com/chapter/10.1007/978-3-031-62362-2_19
TraQuLA: Transparent Question Answering Over RDF Through Linguistic Analysis,"Elizaveta Zimina, Kalervo Järvelin, Jaakko Peltonen & Jyrki Nummenmaa; Aarne Ranta","Tampere University, Tampere, Finland; University of Gothenburg, Gothenburg, Sweden",,"Answering complex questions over knowledge graphs has gained popularity recently. Systems based on large language models seem to achieve top performance. However, these models may generate content that looks reasonable but is incorrect. They also lack transparency, making it impossible to exactly explain why a particular answer was generated. To tackle these problems we present the TraQuLA (Transparent QUestion-answering through Linguistic Analysis) system – a rule-based system developed through linguistic analysis of datasets of complex questions over DBpedia and Wikidata. TraQuLA defines a question’s type and extracts its semantic component candidates (named entities, properties and class names). For the extraction of properties, whose natural language verbalisations are most diverse, we built an extensive database which matches DBpedia/Wikidata properties to natural language expressions, allowing linguistic variation. TraQuLA generates semantic parses for the components and ranks them by each question’s structure and morphological features. The ranked parses are then analysed top down according to their patterns, also noting linguistic aspects, until a solution is found and a SPARQL query is produced. TraQuLA outperforms the existing baseline systems on the LC-QuAD 1.0 and competes with ChatGPT-based systems on LC-QuAD 2.0. For the LC-QuAD 1.0 test set, we developed an evaluation approach that accepts multiple ways to answer the questions (some ignored by the dataset) and curated some errors. TraQuLa contains no “black boxes” of neural networks or machine learning and makes its answer construction traceable. Users can therefore better rely on them and assess their correctness.",International Conference on Web Engineering,2024,,,,,19-33,2,0,https://link.springer.com/chapter/10.1007/978-3-031-62362-2_2
"Subjectivity, Polarity and the Aspect of Time in the Evolution of Crowd-Sourced Biographies","Constantinos Romantzis, Evangelos Mathioudis, Ioannis Katakis & Pantelis Agathangelou; Alexandros Karakasidis; Jahna Otterbacher","Department of Computer Science, School of Sciences and Engineering, University of Nicosia, 2417, Nicosia, Cyprus; Department of Applied Informatics, University of Macedonia, Thessaloniki, Greece; Faculty of Pure and Applied Sciences, Open University of Cyprus, Nicosia, Cyprus",,"This study examines the use of subjective and sentimentally charged language in crowd-sourced articles by focusing on time and how articles in environments like Wikipedia tend to evolve as edits are made by multiple contributors. More specifically, we measure linguistic subjectivity (the systematic, asymmetrical use of language) using Mean Abstraction Level, an established subjectivity measure, and polarity (the use of positively or negatively sentimentally charged words) through time. For the latest case, we introduce a new measure called Polarity Density. We focus on Wikipedia biographies and their evolution over time and we perform a detailed analysis per gender and per personality category. Our empirical evaluation provides evidence of increased subjectivity in female biographies as per personality category and per gender, while the same also occurs when considering sentimental charge over time.",International Conference on Web Engineering,2024,,,,,281-295,2,1,https://link.springer.com/chapter/10.1007/978-3-031-62362-2_20
Investigating the Usefulness of Product Reviews Through Bipolar Argumentation Frameworks,Atefeh Keshavarzi Zafarghandi; Ji Qi & Erik Tjong Kim Sang; Laura Hollink & Davide Ceolin,"Centrum Wiskunde & Informatica, Amsterdam, The Netherlands; Vrije Universiteit Amsterdam, Amsterdam, The Netherlands; Netherlands eScience Center, Amsterdam, The Netherlands",,"The importance of useful product reviews cannot be overstated, as they not only provide crucial information to potential buyers but also offer valuable feedback to the businesses or individuals under review. Providing useful reviews to consumers has gained significant attention as an effective market analysis tool for companies. Numerous studies have delved into the facets that contribute to predicting the usefulness of reviews, encompassing a spectrum from philosophical insights to advancements in artificial intelligence. In this work, we study how to use the argument structure of reviews to identify the most useful reviews in a set of annotated product reviews. In particular, we use quantitative bipolar argumentation frameworks (QBAFs) to construct a model of review arguments and topics, and we apply reasoning to such a model to identify useful reviews. Our results show that indeed argument reasoning, and QBAFs in particular, provide an insightful and well-performing means to analyze the usefulness of reviews.",International Conference on Web Engineering,2024,,,,,296-308,2,0,https://link.springer.com/chapter/10.1007/978-3-031-62362-2_21
Interaction Design Patterns of Web Chatbots,Verena Traubinger & Martin Gaedke,"Faculty of Computer Science, Chemnitz University of Technology, Chemnitz, Germany",,"Chatbots are often used in the web as an additional user interface which offers different modalities for users. Still, there is not yet an established catalogue of interaction patterns across different chatbot implementations, while this is the case for graphical user interfaces. Such a catalogue will give web engineers an orientation in developing chatbots, which will in turn lead to users more easily recognizing common functionalities of chatbots. This short paper is mapping known chatbot functionalities to already established interaction design patterns from graphical user interfaces. For this, these frameworks were assessed on their relevance towards web interfaces before systematically mapping them onto each other by regarding their similarities in the categories Situation, Intention and Implementation. From the result, we discuss similarities and differences which are influencing the specific use of interaction design patterns in web chatbots and formulate the ensuing 12 chatbot interaction patterns in a catalogue for web engineers.",International Conference on Web Engineering,2024,,,,,309-317,2,1,https://link.springer.com/chapter/10.1007/978-3-031-62362-2_22
Estimating Diffusion Degree on Graph Stream Generated from Social and Web Networks,"Vinit Ramesh Gore, Suman Kundu & Anggy Eka Pratiwi","Department of Computer Science and Engineering, IIT Jodhpur, Jodhpur, India",,"Data stream generated from different Web 2.0 applications may contains data which is best described by graphs. Graph streams thus generated show big data characters, including volume and velocity. The challenges of graph stream algorithms are twofold; each edge needs to be processed only once (due to velocity), and it needs to work on highly constrained memory (due to volume). Diffusion degree, a measure of node centrality, can be calculated for static graphs using a single Breadth-First Search (BFS). However, tracking Diffusion Degree in a graph stream is nontrivial. This paper proposes an estimator for diffusion degree for graph streams, which can be used to extract top-k influencing nodes for viral marketing in social networks. Comparative experiments show that the proposed graph stream algorithm is equivalent to or better than the exact diffusion degree-based algorithm.",International Conference on Web Engineering,2024,,,,,318-326,2,0,https://link.springer.com/chapter/10.1007/978-3-031-62362-2_23
Task Manager of Quantum Web Services Through a Load Balancing Solution,"Jaime Alvarado-Valiente, Javier Romero-Álvarez, Enrique Moguel, José Garcia-Alonso & Juan M. Murillo","Quercus Software Engineering Group, Universidad de Extremadura, Cáceres, Spain",,"In the dynamic field of quantum computing, characterized by constant innovation and continuous advancement of hardware and software capabilities, it is clear that this emerging technology holds immense potential in fields such as medicine and security. However, as the quantum computing ecosystem expands, it introduces a unique set of challenges for developers and researchers. One of the main challenges facing developers in the quantum field is the great diversity of quantum service providers. Each of these service providers has different ways of managing the execution tasks and returning the results, which is a problem when trying to execute the same circuit in different providers. In response to this, we present an approach to the management of quantum web services in the cloud, following web engineering techniques. This solution uses load balancing and resource allocation techniques to improve the execution of quantum tasks across multiple providers. The proposal is based on a Quantum Load Balancer that dynamically allocates tasks to the most suitable provider based on availability, performance, and cost. In addition, a Task Manager is introduced that integrates the balancer with a resource manager and a quantum task scheduler to provide a seamless and efficient user experience. The proposal is evaluated through a set of experiments on real quantum hardware and simulators from different quantum service providers, such as Amazon Braket and IBM Quantum. The evaluation results demonstrate a significant average reduction in response times, with an average reduction of 31.6% when the load balancer is employed.",International Conference on Web Engineering,2024,,,,,329-343,2,0,https://link.springer.com/chapter/10.1007/978-3-031-62362-2_24
How Many Web APIs Evolve Following Semantic Versioning?,Souhaila Serbout & Cesare Pautasso,"Software Institute (USI), Lugano, Switzerland",,"More and more Web APIs use semantic versioning to represent the impact of changes on clients depending on previous versions. Our goal is to provide insights about the extent to which evolving Web APIs align with semantic versioning rules. In this paper we present the results of an empirical study on the descriptions of 3 075 Web APIs, which released at least one new version throughout their history. The APIs descriptions were mined by retrieving 132 909 commits from 2 028 different open source GitHub repositories. We systematically collected and examined 506 273 changes of 195 different types released within 16 053 new API versions. We classified whether each change is likely to break clients or not, and checked whether the corresponding version identifier has been updated following semantic versioning rules. The results indicate that in the best case, only 517 APIs consistently release major upgrades when introducing breaking changes, while 1 970 APIs will not always correctly inform their clients about breaking changes released as part of minor or patch-level upgrades. We also detected 927 APIs which use a backwards-compatible evolution strategy, as they never introduce any breaking change throughout their history.",International Conference on Web Engineering,2024,,,,,344-359,2,0,https://link.springer.com/chapter/10.1007/978-3-031-62362-2_25
GitHub-Sourced Web API Evolution: A Large-Scale OpenAPI Dataset,Fabio Di Lauro,"Università della Svizzera Italiana (USI), Lugano, Switzerland",,"This study presents a dataset curated using a software tool called the crawler, which gathers OpenAPI Specifications (OAS) from GitHub. The crawler efficiently collects versioned OAS files and metadata, reflecting API development evolution. It incorporates functionalities for updating, validating, parsing OAS files, ensuring dataset accuracy and relevance. With over three years of data, including 660,000 artifacts from 2.8 million commits, the dataset offers insights into OpenAPI standards adoption and its impact on API development. This paper discusses the dataset and crawler’s application in research and API development, highlighting their role in understanding API practices.",International Conference on Web Engineering,2024,,,,,360-368,2,1,https://link.springer.com/chapter/10.1007/978-3-031-62362-2_26
MatchCom: Stable Matching-Based Software Services Composition in Cloud Computing Environments,Satish Kumar; Renyu Yang; Rajiv Ranjan Singh; Rami Bahsoon; Jie Xu; Rajkumar Buyya,"School of Built Environment, Engineering and Computing, Leeds Beckett University, Leeds, UK; School of Software, Beihang University, Beijing, China; School of Computer Science, University of Birmingham, Birmingham, UK; School of Computing and Information Systems, University of Melbourne, Melbourne, Australia; School of Computing, University of Leeds, Leeds, UK; Department of Cyber Security and Networks, Glasgow Caledonian University, Glasgow, UK",,"User preferences on throughput, latency, cost, service location, etc. indicate specific requirements when choosing a web service from the cloud marketplace. Service providers can also adopt preferences to prioritize a set of end-users based on their Service Level Agreement and service usage history. An effective matching between preferences from both parties enables fair service marketing in the cloud marketplace. The existing approaches are insufficient in capturing both parties’ preferences in the service composition process. To address this limitation, we propose MatchCom, a novel service composition approach driven by diverse preferences and formulate it as the stable marriage problem. Particularly, we present a novel fair preference ordering mechanism – in the context of a cloud marketplace, for enabling users to specify services provider ranking based on the capability they can provision, and for helping providers select the most suitable users to be served given users’ profile. MatchCom extends the Gale-Shapely Algorithm with a service composer algorithm for optimising the stable service composition. We evaluate MatchCom on a service-oriented system with 10 abstract services, each of which has 100 candidate web services. We establish through the experimental results that MatchCom outperforms other baseline approaches and can maximize end-user satisfaction in the composition process.",International Conference on Web Engineering,2024,,,,,369-377,2,0,https://link.springer.com/chapter/10.1007/978-3-031-62362-2_27
Demonstrating Liquid Software in IoT Using WebAssembly,"Pyry Kotilainen, Viljami Järvinen, Teemu Autto & Tommi Mikkonen; Lakshan Rathnayaka","Faculty of Computing, Tampere University, Tampere, Finland; Faculty of Information Technology, University of Jyväskylä, Jyväskylä, Finland",,"In this paper we introduce a demonstration of our prototype orchestration system utilising WebAssembly to achieve isomorphism for a liquid software IoT system. The demonstration hardware consists of two Raspberry Pi IoT devices and a computer acting as the orchestrator. The audience can interact with the orchestrator through a web interface to deploy different software configurations to the devices, and observe the deployment process as well as the deployed application in action.",International Conference on Web Engineering,2024,,,,,381-384,2,0,https://link.springer.com/chapter/10.1007/978-3-031-62362-2_28
KITspotlight: A System for Spotlighting Researchers in the Media,"Michael Färber, Benjamin Zagoruiko & Markus Wambach","Karlsruhe Institute of Technology (KIT), Karlsruhe, Germany",,"Academic institutions, such as universities, heavily rely on public relations and are thus interested in media monitoring. However, tracking mentions of their researchers in news articles presents challenges such as identifying affiliated personnel and their departments, and aggregating the extracted information. In this paper, we introduce KITspotlight, a novel system that automatically identifies researchers of the Karlsruhe Institute of Technology (KIT) in newspaper articles, associates these individuals with their departments, and presents this information visually. KITspotlight is tailored for both department heads, administrative staff, and individual researchers, focussing on the institution’s overall public visibility or individual researcher’s public appearance. Analyzing data from 2,280 articles over 12 months, our system offers a model for monitoring academic personnel at any research institution.",International Conference on Web Engineering,2024,,,,,385-388,2,0,https://link.springer.com/chapter/10.1007/978-3-031-62362-2_29
Inclusive Counterfactual Generation: Leveraging LLMs in Identifying Online Hate,M. Atif Qureshi; Arjumand Younus; Simon Caton,"School of Computer Science, University College Dublin, Dublin, Ireland; ADAPT Centre, eXplainable Analytics Group, Faculty of Business, Technological University Dublin, Dublin, Ireland; School of Information and Communication Studies, University College Dublin, Dublin, Ireland",,"Counterfactually augmented data has recently been proposed as a successful solution for socially situated NLP tasks such as hate speech detection. The chief component within the existing counterfactual data augmentation pipeline, however, involves manually flipping labels and making minimal content edits to training data. In a hate speech context, these forms of editing have been shown to still retain offensive hate speech content. Inspired by the recent success of large language models (LLMs), especially the development of ChatGPT, which have demonstrated improved language comprehension abilities, we propose an inclusivity-oriented approach to automatically generate counterfactually augmented data using LLMs. We show that hate speech detection models trained with LLM-produced counterfactually augmented data can outperform both state-of-the-art and human-based methods.",International Conference on Web Engineering,2024,,,,,34-48,2,3,https://link.springer.com/chapter/10.1007/978-3-031-62362-2_3
Towards Pricing4SaaS: A Framework for Pricing-Driven Feature Toggling in SaaS,"Alejandro García-Fernández, José Antonio Parejo, Pablo Trinidad & Antonio Ruiz-Cortés","SCORE Lab, I3US Institute, Universidad de Sevilla, Seville, Spain",,"In a rapidly evolving digital marketplace, the ability to enable features and services dynamically on SaaS products in alignment with market conditions and pricing strategies is essential for sustaining competitiveness and improving the user experience. This demo paper presents Pricing4SaaS, a reference architecture designed to enhance the integration and management of pricing-driven feature toggles in SaaS systems. It centralizes the configuration of the pricing structure, spreading its changes across the whole application every time it is modified, while securing state synchronization between both the client and server. Additionally, a case study integrating a reference implementation of Pricing4SaaS inside a Spring+React PetClinic project demonstrates how such approach can be leveraged to optimize developer productivity, reducing technical debt, and improving operational efficiency.",International Conference on Web Engineering,2024,,,,,389-392,2,4,https://link.springer.com/chapter/10.1007/978-3-031-62362-2_30
Utilizing DNS and VirusTotal for Automated Ad-Malware Detection,Florian Nettersheim & Stephan Arlt; Michael Rademacher,"University of Applied Sciences Bonn-Rhein-Sieg, Sankt Augustin, Germany; Federal Office for Information Security, Bonn, Germany",,"In this paper, we present a novel approach to the automated detection of ad-malware. We efficiently crawl a vast set of websites and extensively fetch all HTTP requests embedded in these websites.Then we query these requests both against filtered DNS resolvers and VirusTotal. The idea is to evaluate, how much content is labeled as a potential threat. The results show that up to 8.8% of the domains found in our approach are labeled as suspicious. Moreover, up to 3.2% of these domains are categorized as ad-malware. However, the overall responses from the used services paint a divergent picture: Both DNS resolvers and VirusTotal have different understandings to the definition of suspicious content.",International Conference on Web Engineering,2024,,,,,393-396,2,0,https://link.springer.com/chapter/10.1007/978-3-031-62362-2_31
A User Interface Design for Collaborations Between Humans and Intelligent Vehicles,"Yong Zhao, Yatai Ji, Sihang Qiu, Zhengqiu Zhu & Rusheng Ju","National University of Defense Technology, Changsha, China",,"Intelligent vehicles have been widely applied in the industry, academia, and our daily lives, to complete various tasks. However, existing AI that drives intelligent vehicles sometimes falls short as they may not ensure completeness or optimality, leading to issues like local optima or infinite loops. In response to these limitations, we proposed a user interface design for online crowdsourcing tasks, which enables collaborations between crowd workers and intelligent vehicles. This design aims to bolster existing intelligent vehicles’ AI with human intelligence as external support, while also leveraging AI predictions to minimize human effort. This research provides significant insights into the design of collaborative systems that effectively integrate human and artificial intelligence.",International Conference on Web Engineering,2024,,,,,397-400,2,1,https://link.springer.com/chapter/10.1007/978-3-031-62362-2_32
