title,authors,affiliations,keywords,abstract,venue,year,pages,length,citations,url
Liquid Web Architectures,Andrea Gallidabino,"Software Institute, Faculty of Informatics, Università della Svizzera italiana (USI), Lugano, Switzerland",Liquid software; Multi-device adaptation; Web design,"Nowadays users access the Web differently from what they used to in the past, the devices we use to fetch applications from the Web are not the same as the slow desktop computers that we owned twenty years ago. The Web can be accessed by devices with different sizes and capabilities, ranging from desktop to laptop computers, or even from tablets to phones. More recently, also smart and embedded devices, such as smart televisions, smart watches or parts of smart cars, are able to communicate with remote Web servers through the Web. The average number of Web-enabled devices owned by a single user has also increased and the connected user usually access the Web with multiple devices concurrently.",International Conference on Web Engineering,2019,560-565,6,18,https://link.springer.com/chapter/10.1007/978-3-030-19274-7_45
Powerful Data Analysis and Composition with the UNIX-Shell,Andreas Schmidt; Andreas Schmidt & Steffen Scholz,"University of Applied Sciences, Karlsruhe, Germany; Karlsruhe Institute of Technology, Karlsruhe, Germany",Unix-Shell; Filter and Pipes; Transformation of data,"In addition to a wide range of commercially available data processing tools for data analysis and knowledge discovery, there are a bundle of Unix-shell scripting and text processing tools practically available on every computer. This paper reports on some of these data processing tools and presents how they can be used together to manipulate and transform data and also to perform some sort of analysis like aggregation, etc. Beside the free availability, these tools have the advantage that they can be used immediately, without prior transformation and loading the data into the target system. Another important point is, that they are typically stream-based and thus, huge amounts of data can be processed without running out of main-memory.",International Conference on Web Engineering,2019,582-585,4,0,https://link.springer.com/chapter/10.1007/978-3-030-19274-7_49
Non-monotonic Reasoning on the Web,Matteo Cristani,"Dipartimento di Informatica, Università di Verona, Verona, Italy",,"In this tutorial we describe the approaches to non monotonic reasoning as a means for inference on the web. In particular we are focusing on the ways in which reasoning technologies have adapted to five different issues of the modern era world wide web: (a) epistemic aspects, bound by the new models of the social web, (b) changes over time, (c) language variants, including different languages of deployment of a web site, (d) agent-based knowledge deployment, due to social networks and blogs, (e) dialogue aspects, introduced again in blogs and social networks. The presentation covers these aspects by a technical viewpoint, including the introduction of specific knowledge-driven methods. The technical issues will be provided within a general logical framework known as defeasible logic.",International Conference on Web Engineering,2019,586-589,4,0,https://link.springer.com/chapter/10.1007/978-3-030-19274-7_50
Modeling Heterogeneous Influences for Point-of-Interest Recommendation in Location-Based Social Networks,"Qing Guo, Jie Zhang & Yin-Leng Theng; Zhu Sun","Nanyang Technological University, 50 Nanyang Ave, Singapore, 639798, Singapore; Shopee, 2 Science Park Drive, Singapore, 118222, Singapore",Location-based social network; POI recommendation; Knowledge graph; Matrix factorization,"The huge amount of heterogeneous information in location-based social networks (LBSNs) creates great challenges for POI recommendation. User check-in behavior exhibits two properties, diversity and imbalance. To effectively model both properties, we propose an Aspect-aware Geo-Social Matrix Factorization (AGS-MF) approach to exploit various factors in a unified manner for more effective POI recommendation. Specifically, we first construct a novel knowledge graph (KG), named as Aspect-aware Geo-Social Influence Graph (AGS-IG), to unify multiple influential factors by integrating the heterogeneous information about users, POIs and aspects from reviews. We design an efficient meta-path based random walk to discover relevant neighbors of each user and POI based on multiple influential factors. The extracted neighbors are further incorporated into AGS-MF with automatically learned personalized weights for each user and POI. By doing so, both diversity and imbalance can be modeled for better capturing the characteristics of users and POIs. Experimental results on several real-world datasets demonstrate that AGS-MF outperforms state-of-the-art methods.",International Conference on Web Engineering,2019,72-80,9,6,https://link.springer.com/chapter/10.1007/978-3-030-19274-7_6
Correction to: Dragon: Decision Tree Learning for Link Discovery,Daniel Obraczka; Axel-Cyrille Ngonga Ngomo,"University of Leipzig, 04109, Leipzig, Germany; University of Paderborn, 33098, Paderborn, Germany",,,International Conference on Web Engineering,2019,C1-C1,,0,https://link.springer.com/chapter/10.1007/978-3-030-19274-7_51
Incremental PARAFAC Decomposition for Three-Dimensional Tensors Using Apache Spark,Hye-Kyung Yang & Hwan-Seung Yong,"Department of Computer Science and Engineering, Ewha Womans University, Seoul, Korea",PARAFAC decomposition; Incremental tensor decomposition; Apache Spark,"Recent studies have focused on the use of tensor analysis for tensor decomposition because this method can identify more latent factor and patterns, compared to the matrix factorization approach. The existing tensor decomposition studies used static dataset in their analyses. However, in practice, data change and increase over time. Therefore, this paper proposes an incremental Parallel Factor Analysis (PARAFAC) tensor decomposition algorithm for three-dimensional tensors. The method of incremental tensor decomposition can reduce recalculation costs associated with the addition of new tensors. The proposed method is called InParTen; it performs distributed incremental PARAFAC tensor decomposition based on the Apache Spark framework. The proposed method decomposes only new tensors and then combines them with existing results without recalculating the complete tensors. In this study, it was assumed that the tensors grow with time as the majority of the dataset is added over a period. In this paper, the performance of InParTen was evaluated by comparing the obtained results for execution time and relative errors against existing tensor decomposition tools. Consequently, it has been observed that the method can reduce the recalculation cost of tensor decomposition.",International Conference on Web Engineering,2019,63-71,9,5,https://link.springer.com/chapter/10.1007/978-3-030-19274-7_5
Exploring Semantic Change of Chinese Word Using Crawled Web Data,"Xiaofei Xu, Yukun Cao & Li Li","College of Computer and Information Science, Southwest University, Chongqing, 400715, China",Diachronic analysis; Word embedding; Web data mining; Chinese word evolution,"Words changing their meanings over time reflects various shifts in socio-cultural attitudes and conceptual structures. Understanding semantic change of words over time is important in order to study models of language and cultural evolution. Word embeddings methods such as PPMI, SVD and word2vec have been evaluated in recent years. These kinds of representation methods, sometimes referring as semantic maps of words, are able to facilitate the whole process of language processing. Chinese language is no exception. The development of technology gradually influences people’s communication and the language they are using. In the paper, a huge amount of data (300 GB) is provided by Sogou, a Chinese web search engine provider. After pre-processing, the Chinese language corpus is obtained. Three different word representation methods are extended to including temporal information. They are trained and tested based on the above dataset. A thorough analysis (both qualitative and quantitative analysis) is conducted with different thresholds to capture different semantic accuracy and alignment quality of the shifted words. A comparison between three methods is provided and possible reasons behind experiment results are discussed.",International Conference on Web Engineering,2019,81-88,8,0,https://link.springer.com/chapter/10.1007/978-3-030-19274-7_7
Predicting Graph Operator Output over Multiple Graphs,"Tasos Bakogiannis, Ioannis Giannakopoulos & Nectarios Koziris; Dimitrios Tsoumakos","CSLab, School of ECE, National Technical University of Athens, Athens, Greece; Department of Informatics, Ionian University, Corfu, Greece",Graph analytics; Operator modeling; Graph similarity,"A growing list of domains, in the forefront of which are Web data and applications, are modeled by graph representations. In content-driven graph analytics, knowledge must be extracted from large numbers of available data graphs. As the number of datasets (a different type of volume) can reach immense sizes, a thorough evaluation of each input is prohibitively expensive. To date, there exists no efficient method to quantify the impact of numerous available datasets over different graph analytics tasks. To address this challenge, we propose an efficient graph operator modeling methodology. Our novel, operator-agnostic approach focuses on the inputs themselves, utilizing graph similarity to infer knowledge about them. An operator is executed for a small subset of the available inputs and its behavior is modeled for the rest of the graphs utilizing machine learning. We propose a family of similarity measures based on the degree distribution that prove capable of producing high quality models for many popular graph tasks, even compared to modern, state of the art similarity functions. Our evaluation over both real-world and synthetic graph datasets indicates that our method achieves extremely accurate modeling of many commonly encountered operators, managing massive speedups over a brute-force alternative.",International Conference on Web Engineering,2019,107-122,16,2,https://link.springer.com/chapter/10.1007/978-3-030-19274-7_9
A Customisable Pipeline for Continuously Harvesting Socially-Minded Twitter Users,"Flavio Primo, Paolo Missier & Alexander Romanovsky; Mickael Figueredo & Nelio Cacho","Universidade Federal do Rio Grande do Norte, Natal, RN, Brazil; School of Computing, Newcastle University, Science Central, Newcastle upon Tyne, UK",Twitter analytics; Online user discovery; Online activists; Online influencers; Influence theories,"On social media platforms and Twitter in particular, specific classes of users such as influencers have been given satisfactory operational definitions in terms of network and content metrics. Others, for instance online activists, are not less important but their characterisation still requires experimenting. We make the hypothesis that such interesting users can be found within temporally and spatially localised contexts, i.e., small but topical fragments of the network containing interactions about social events or campaigns with a significant footprint on Twitter. To explore this hypothesis, we have designed a continuous user profile discovery pipeline that produces an ever-growing dataset of user profiles by harvesting and analysing contexts from the Twitter stream. The profiles dataset includes key network and content-based users metrics, enabling experimentation with user-defined score functions that characterise specific classes of online users. The paper describes the design and implementation of the pipeline and its empirical evaluation on a case study consisting of healthcare-related campaigns in the UK, showing how it supports the operational definitions of online activism, by comparing three experimental ranking functions. The code is publicly available.",International Conference on Web Engineering,2019,91-106,16,1,https://link.springer.com/chapter/10.1007/978-3-030-19274-7_8
Detecting Responsive Web Design Bugs with Declarative Specifications,"Oussama Beroual, Francis Guérin & Sylvain Hallé","Laboratoire d’informatique formelle, Université du Québec à Chicoutimi, Saguenay, Canada",,"Responsive Web Design (RWD) is a concept that is born from the need to provide users with a positive and intuitive experience, no matter what device they use. Complex Cascading Style Sheets (CSS) are used in RWD to smoothly change the appearance of a website based on the window width of the device being used. The paper presents an automated approach for testing these dynamic web applications, where a combination of dynamic crawling and back-end testing is used to automatically detect RWD bugs.",International Conference on Web Engineering,2020,3-18,16,6,https://link.springer.com/chapter/10.1007/978-3-030-50578-3_1
VISH: Does Your Smart Home Dialogue System Also Need Training Data?,"Mahda Noura, Sebastian Heil & Martin Gaedke","Technische Universität Chemnitz, Chemnitz, Germany",Smart home; Internet of Things; Web of Things; Goal-oriented interfaces; Training data generation; Dataset,"The main objective of smart homes is to improve the quality of life and comfort of their inhabitants through automation systems and ambient intelligence. Voice-based interaction like dialogue systems is the current emerging trend in these systems. Natural Language Understanding (NLU) model can identify the end-users’ intentions in the utterances provided to spoken dialogue systems. The utility of dialogue systems is reliant on the quality of NLU models, which is in turn significantly dependent on the availability of a high-quality and sufficiently large corpus for training, containing diverse utterance structures. However, building such corpora is a complex task even for companies possessing significant human and infrastructure resources. On the other hand, the existing corpora for the smart home domain are either concerned with web services, focus on direct goals only, follow static command structure, or are not publicly available in English language which limits the development of goal-oriented dialogue systems for smart homes. In this paper, we propose a generic method to create training data for the NLU component using a generative grammar-based approach. Our method outputs, Voice Interaction in Smart Home (VISH) dataset consisting of five million unique utterances for the smart home. This dataset can greatly facilitate research in the area of voice-based dialogue systems for smart homes. We evaluate the approach by using VISH to train several state-of-the-art NLU models. Our experiment results demonstrate the capability of the corpus to support the development of goal-oriented voice-based dialogue systems in the context of smart homes.",International Conference on Web Engineering,2020,171-187,17,8,https://link.springer.com/chapter/10.1007/978-3-030-50578-3_13
I Don’t Have That Much Data! Reusing User Behavior Models for Websites from Different Domains,Maxim Bakaev; Maximilian Speicher; Sebastian Heil & Martin Gaedke,"C&A Europe, Düsseldorf, Germany; Technische Universität Chemnitz, Chemnitz, Germany; Novosibirsk State Technical University, Novosibirsk, Russia",Web design; User experience; Machine learning; Training data,"User behavior models see increased usage in automated evaluation and design of user interfaces (UIs). Obtaining training data for the models is costly, since it generally requires the involvement of human subjects. For interaction’s subjective quality parameters, like aesthetic impressions, it is even inevitable. In our paper, we study applicability of trained user behavior models between different domains of websites. We collected subjective assessments of Aesthetics, Complexity and Orderliness from 137 human participants for more than 3000 homepages from 7 domains, and used them to train 21 artificial neural network (ANN) models. The input neurons were 32 quantitative metrics obtained via computer vision-based analysis of the homepages screenshots. Then, we tested how well each ANN model can predict subjective assessments for websites from other domains, and correlated the changes in prediction accuracies with the pairwise distances between the domains. We found that the Complexity scale was rather domain-independent, whereas “foreign-domain” models for Aesthetics and Orderliness had on average greater prediction errors for other domains, by 60% and 45%, respectively. The results of our study provide web designers and engineers with a first framework to assess the reusability and difference in prediction accuracy of the models, for more informed decisions.",International Conference on Web Engineering,2020,146-162,17,20,https://link.springer.com/chapter/10.1007/978-3-030-50578-3_11
Who’s Behind That Website? Classifying Websites by the Degree of Commercial Intent,Michael Färber & Frederic Bartscherer; Benjamin Scheer,"1&1 IONOS SE, Karlsruhe, Germany; Karlsruhe Institute of Technology (KIT), Karlsruhe, Germany",Document classification; Web; Text mining; Machine learning,"Web hosting companies strive to provide customised customer services and want to know the commercial intent of a website. Whether a website is run by an individual person, a company, a non-profit organisation, or a public institution constitutes a great challenge in website classification as website content might be sparse. In this paper, we present a novel approach for determining the commercial intent of websites by using both supervised and unsupervised machine learning algorithms. Based on a large real-world data set, we evaluate our model with respect to its effectiveness and efficiency and observe the best performance with a multilayer perceptron.",International Conference on Web Engineering,2020,130-145,16,0,https://link.springer.com/chapter/10.1007/978-3-030-50578-3_10
Improving Detection Accuracy for Malicious JavaScript Using GAN,"Junxia Guo, Qiyun Cao, Rilian Zhao & Zheng Li","College of Information Science and Technology, Beijing University of Chemical Technology, Beijing, China",Malicious code detection; JavaScript; GAN; Classifier,"Dynamic web pages are widely used in web applications to provide better user experience. Meanwhile, web applications have become a primary target in cybercriminals by injecting malware, especially JavaScript, to perform malicious activities through impersonation. Thus, in order to protect users from attacks, it is necessary to detect those malicious codes before they are executed. Since the types of malicious codes increase quickly, it is difficult for the traditional static and dynamic approaches to detect new style of malicious code. In recent years, machine learning has been used in malicious code identification approaches. However, a large number of labeled samples are required to achieve good performance, which is difficult to acquire. This paper proposes an efficient method for improving the classifiers’ recognition rate in detecting malicious JavaScript based on Generative Adversarial Networks (GAN). The output from the GAN is used to train classifiers. Experimental results show that our method can achieve better accuracy with a limited set of labeled sample.",International Conference on Web Engineering,2020,163-170,8,2,https://link.springer.com/chapter/10.1007/978-3-030-50578-3_12
Automatic Model Completion for Web Applications,"Ruilian Zhao, Chen Chen, Weiwei Wang & Junxia Guo","Beijing University of Chemical Technology, Beijing, 100029, China",Model completion; Web applications; EFSM model; Lookahead search,"Model-based testing is one of the most effective methods for testing web applications, where the integrity of models determines the effectiveness and efficiency of testing. Static/dynamic analysis techniques are widely used to construct models for web applications. However, it is almost impossible to build a complete model for web applications by static analysis techniques since web applications are driven by events, and web pages are generated dynamically. Dynamic analysis techniques construct models through monitoring the execution of web applications and capturing the pivotal behavior information. But it is challenging to explore all possible behaviors, resulting in incomplete models. So, the combination of dynamic and static analysis techniques is a viable way to construct a more complete model for web applications. Extended Finite State Machine (EFSM) is considered more suitable to represent modern web applications. So this paper defines an integrity criterion for EFSM models of web applications and proposes a model completion method by combining dynamic analysis and static analysis techniques. Static analysis is used to collect all behaviors from the source code of web application, identify the uncovered ones from the EFSM model built according to the integrity criterion, and find feasible transition sequences for the uncovered behaviors on the EFSM model. Furthermore, we design multiple priority rules for transition sequence generation to improve its efficiency. The dynamic analysis is employed to simulate the execution of feasible transition sequences on the EFSM model such that the uncovered behaviors can be added into the model to improve its integrity. We implement our method in a prototype tool called AutoMC and conduct a series of experiments on five open-source web applications. The experiment results show that our method can complete the model of web applications, and the priority rules provide effective guidance in transition sequence generation. The model’s integrity improved by 22.68% on average.",International Conference on Web Engineering,2020,207-227,21,2,https://link.springer.com/chapter/10.1007/978-3-030-50578-3_15
Neighborhood Aggregation Embedding Model for Link Prediction in Knowledge Graphs,Changjian Wang; Changjian Wang; Ying Sha; Ying Sha,"Institute of Information Engineering, Chinese Academy of Sciences, Beijing, China; Hubei Engineering Technology Research Center of Agricultural Big Data, Wuhan, China; College of Informatics, Huazhong Agricultural University, Wuhan, China; School of Cyber Security, University of Chinese Academy of Sciences, Beijing, China",Knowledge graph embedding; Link prediction; Semantic web; Graph neural networks,"Link prediction has become a hot topic of knowledge graphs (KGs) in recent years. It aims at predicting missing links between entities to complement KGs. The most successful methods for this problem are embedding-based. Most previous works only consider the triples to learn the embeddings of entities and relations, so the information they can utilize is limited. However, KGs are graph-structured data, we can use the neighborhood information to improve the quality of embeddings, thus improving the performance of link prediction task. In this paper, we propose NAE (neighborhood aggregation embedding model), a novel approach for link prediction. NAE consists of an aggregator and a predictor. The aggregator aggregates the embeddings of multi-order neighbors with different weights to generate a new embedding for each entity. Further analysis shows that the performance of some existing methods such as TransE and DistMult can be improved by integrating our aggregators. The predictor predicts the probability distributions of target entities. It uses convolutional neural network (CNN) to capture more interactions between the new entity embeddings and the relation embeddings. We also propose a highly parameter efficient model NAE-S by simplifying the predictor, which can obtain competitive performance with fewer parameters. Compared with DistMult, NAE-S achieves the same performance with 16x fewer parameters. Experimental results show that our method outperforms several state-of-the-art methods on benchmark datasets.",International Conference on Web Engineering,2020,188-203,16,1,https://link.springer.com/chapter/10.1007/978-3-030-50578-3_14
Almost Rerere: An Approach for Automating Conflict Resolution from Similar Resolved Conflicts,"Piero Fraternali, Sergio Luis Herrera Gonzalez & Mohammad Manan Tariq","Dipartimento di Elettronica, Informazione e Bioingegneria, Politecnico di Milano, Piazza Leonardo da Vinci 32, 20133, Milan, Italy",Automatic conflict resolution; GIT; Code integration,"Concurrent development requires the ability of reconciling conflicting updates to the code made independently. A specific case occurs when long living feature branches are integrated to a rapid changing code base. In this scenario, every integration test will require to manually resolve the same conflicts at every iteration. In this paper we propose a framework for automating the detection and resolution of conflicts in the code updated by distinct developers, one of which may be a code generator. The tool learns how to solve conflicts from past experience and applies resolutions, encoded as replacement regular expressions, to conflicts not seen before. Experiments show that the number of automatically resolved conflicts and the quality of the solution increase as the system acquires experience.",International Conference on Web Engineering,2020,228-243,16,3,https://link.springer.com/chapter/10.1007/978-3-030-50578-3_16
Scalable Real-Time Confusion Detection for Personalized Onboarding Guides,"Michal Hucko, Robert Moro & Maria Bielikova","Faculty of Informatics and Information Technologies, Slovak University of Technology in Bratislava, Ilkovicova 2, 842 16, Bratislava, Slovakia",Affective computing; Confusion detection; Personalization; Scalability; Real-time detection; YesElf,"Onboarding of new employees is a common process in all companies. Many hours of qualified employees’ time need to be invested to teach new employees how to use the company’s internal systems. This process can be significantly eased by onboarding solutions leveraging application guides. However, if not personalized, the guides can quickly become annoying to users. This can be overcome by employing emotion detection in real-time, but the solutions face several major challenges, such as scalability, detection time, or model retraining. In this paper, we describe how we tackled these challenges and implemented an emotion detection-based personalization module in the onboarding solution YesElf. The module leverages the mouse interaction data of users to detect their confusion. We show the scalability of our solution in the production environment which has been deployed to three customers with more than 200 concurrent users.",International Conference on Web Engineering,2020,261-276,16,1,https://link.springer.com/chapter/10.1007/978-3-030-50578-3_18
Generation of Realistic Navigation Paths for Web Site Testing Using Recurrent Neural Networks and Generative Adversarial Neural Networks,Silvio Pavanetto & Marco Brambilla,"Dipartimento di Elettronica, Informazione e Bioingegneria, Politecnico di Milano, P.za L. da Vinci 32, Milano, Italy",Web engineering; Data mining; Deep learning; Recurrent neural networks; Generative adversarial networks; Testing,"A robust technique for generating web navigation logs could be fundamental for applications not yet released, since developers could evaluate their applications as if they were used by real clients. This could allow to test and improve the applications faster and with lower costs, especially with respect to the usability and interaction aspects. In this paper we propose the application of deep learning techniques, like recurrent neural networks (RNN) and generative adversarial neural networks (GAN), aimed at generating high-quality weblogs, which can be used for automated testing and improvement of Web sites even before their release.",International Conference on Web Engineering,2020,244-258,15,2,https://link.springer.com/chapter/10.1007/978-3-030-50578-3_17
Layout as a Service (LaaS): A Service Platform for Self-Optimizing Web Layouts,"Markku Laine, Ai Nakajima, Niraj Dayama & Antti Oulasvirta","Aalto University, Helsinki, Finland",Self-adaptive web interfaces; Web-based interaction; Web personalization; Web layouts; Web service architectures,"To personalize a web page, case-specific rules or templates must be specified that define the visuospatial layout of elements as well as device-specific adaptation rules for an individual. This approach scales poorly. We present LaaS, a service platform for self-optimizing web layouts to improve their usability at individual, group, and population levels. No hand-coded rules or templates are needed, as LaaS uses combinatorial optimization to generate web layouts for stated design objectives. This allows personalization to be controlled via intuitive objectives that affect the full web layout. We present an extensible architecture and solutions for (1) layout generation using integer programming, (2) data abstractions to mediate between browsers and layout generators, and (3) page restructuring. Moreover, we show how LaaS can be easily deployed as part of existing web pages. Results demonstrate that our approach can produce usable personalized web layouts in diverse scenarios.",International Conference on Web Engineering,2020,19-26,8,11,https://link.springer.com/chapter/10.1007/978-3-030-50578-3_2
Creating and Capturing Artificial Emotions in Autonomous Robots and Software Agents,Claus Hoffmann; Maria-Esther Vidal,"TIB Leibniz Information Centre for Science and Technology, Hannover, Germany; Research Group Robots and Software Agents with Emotions, Sankt Augustin, Germany",Autonomous agents; Artificial emotions; Agent Knowledge Graphs,"This paper presents ARTEMIS, a control system for autonomous robots or software agents. ARTEMIS is able to create and capture artificial emotions during interactions with its environment, and we describe the underlying mechanisms for this. The control system also realizes the capturing of knowledge about its past artificial emotions. A specific interpretation of a knowledge graph, called an Agent Knowledge Graph, represents these artificial emotions. For this, we devise a formalism which enriches the traditional factual knowledge in knowledge graphs with the representation of artificial emotions. As proof of concept, we realize a concrete software agent based on the ARTEMIS control system. This software agent acts as a user assistant and executes the user’s orders. The environment of this user assistant consists of autonomous service agents. The execution of user’s orders requires interaction with these autonomous service agents. These interactions lead to artificial emotions within the assistant. The first experiments show that it is possible to realize an autonomous agent with plausible artificial emotions with ARTEMIS and to record these artificial emotions in its Agent Knowledge Graph. In this way, autonomous agents based on ARTEMIS can capture essential knowledge that supports successful planning and decision making in complex dynamic environments and surpass emotionless agents.",International Conference on Web Engineering,2020,277-292,16,7,https://link.springer.com/chapter/10.1007/978-3-030-50578-3_19
On Emotions in Conflict Wikipedia Talk Pages Discussions,Maksymilian Marcinowski & Agnieszka Ławrynowicz; Agnieszka Ławrynowicz,"Center for Artificial Intelligence and Machine Learning (CAMIL), Poznan University of Technology, Poznań, Poland; Faculty of Computing and Telecommunications, Poznan University of Technology, Poznań, Poland",Online discussion; Emotions; Conflictual interactions,"Unjustified anti-social behaviour in Internet discussions, such as vulgarisms and insults, is tantamount to the outbreak of an online conflict that destroys the merits of the discussion. Recognising the characteristics of conflict discussions and modelling their dynamics can help to predict and prevent derailing. We propose to use emotion labels as characteristics and propose a new dataset, extending the non-conflict and such conflict conversations from Wikipedia talk pages that derailed due to a personal attack with an emotional context based on the Plutchik’s model. We also present the results of the analysis of this dataset aimed at identifying specific, emotion-based features of conflict (derailed) discussions, which are potentially useful in predicting the outbreak of conflict in online conversations. Furthermore, we introduce the phenomenon of escalation of emotions using both the Plutchik’s model and EmoWordNet lexicon and show its dynamics in these approaches. With this new dataset and analysis, we hope to open up new possibilities for research in detecting the outbreak of an online conflict.",International Conference on Web Engineering,2020,293-301,9,2,https://link.springer.com/chapter/10.1007/978-3-030-50578-3_20
Geospatial Partitioning of Open Transit Data,"Harm Delva, Julián Andrés Rojas, Pieter-Jan Vandenberghe, Pieter Colpaert & Ruben Verborgh","IDLab, Department of Electronics and Information Systems, Ghent University – imec, Ghent, Belgium",Linked open data; Mobility; Maintainability; Web API engineering,"Public transit operators often publish their open data as a single data dump, but developers with limited computational resources may not be able to process all this data. Existing work has already focused on fragmenting the data by departure time, so that data consumers can be more selective in the data they process. However, each fragment still contains data from the entire operator’s service area. We build upon this idea by fragmenting geospatially as well as by departure time. Our method is robust to changes in the original data, such as the deletion or the addition of stops, which is crucial in scenarios where data publishers do not control the data itself. In this paper we explore popular clustering methods such as k-means and METIS, alongside two simple domain-specific methods of our own. We compare the effectiveness of each for the use case of client-side route planning, focusing on the ease of use of the data and the cacheability of the data fragments. Our results show that simply clustering stops by their proximity to 8 transport hubs yields the most promising results: queries are 2.4 times faster and download 4 times less data. More than anything though, our results show that the difference between clustering methods is small, and that engineers can safely choose practical and simple solutions. We expect that this insight also holds true for publishing other geospatial data such as road networks, sensor data, or points of interest.",International Conference on Web Engineering,2020,305-320,16,3,https://link.springer.com/chapter/10.1007/978-3-030-50578-3_21
Efficient Live Public Transport Data Sharing for Route Planning on the Web,"Julián Andrés Rojas, Dylan Van Assche, Harm Delva, Pieter Colpaert & Ruben Verborgh","IDLab, Department of Electronics and Information Systems, Ghent University – imec, Ghent, Belgium",Public transport; Web interfaces; Live updates; Route planning,"Web-based information services transformed how we interact with public transport. Discovering alternatives to reach destinations and obtaining live updates about them is necessary to optimize journeys and improve the quality of travellers’ experience. However, keeping travellers updated with opportune information is demanding. Traditional Web APIs for live public transport data follow a polling approach and allocate all data processing on either data providers, lowering data accessibility, or data consumers, increasing the costs of innovative solutions. Moreover, data processing load increases further because previously obtained route plans are fully recalculated when live updates occur. In between solutions sharing processing load between clients and servers, and alternative Web API architectures were not thoroughly investigated yet. We study performance trade-offs of polling and push-based Web architectures to efficiently publish and consume live public transport data. We implement (i) alternative architectures that allow sharing data processing load between clients and servers, and evaluate their performance following polling- and push-based approaches; (ii) a rollback mechanism that extends the Connection Scan Algorithm to avoid unnecessary full route plan recalculations upon live updates. Evaluations show polling as a more efficient alternative on CPU and RAM but hint towards push-based alternatives when bandwidth is a concern. Clients update route plan results 8–10 times faster with our rollback approach. Smarter API design combining polling and push-based Web interfaces for live public transport data reduces the intrinsic costs of data sharing by equitably distributing the processing load between clients and servers. Future work can investigate more complex multimodal transport scenarios.",International Conference on Web Engineering,2020,321-336,16,5,https://link.springer.com/chapter/10.1007/978-3-030-50578-3_22
Web-Based Development and Visualization Dashboards for Smart City Applications,"Douglas Rolim, Jorge Silva, Thais Batista & Everton Cavalcante","DIMAp, Federal University of Rio Grande do Norte, Natal, Brazil",Smart city applications; Application development; Development dashboard; Visualization dashboard,"Smart city applications are inherently characterized by the integration of data from heterogeneous sources and the need of considering geographical information that represents the real-world urban space. To address these concerns, some platforms have been proposed in recent years offering common services and facilities to ease the development of smart city applications. Nonetheless, the existing platforms do not offer high-level interfaces to provide developers with proper tools that could reduce the complexity of developing applications, neither an interface to organize data visualization to end-users. Aiming at tackling such limitations, this work presents Web-based dashboards to support development and data visualization in smart city applications: the former is tailored to application developers, whereas the latter is suited to visualize data. This paper presents the use of these dashboards in association with a platform that integrates heterogeneous urban data with geographical information while supporting the development of smart city applications on top of this data.",International Conference on Web Engineering,2020,337-344,8,10,https://link.springer.com/chapter/10.1007/978-3-030-50578-3_23
Detecting Rumor on Microblogging Platforms via a Hybrid Stance Attention Mechanism,"Zeng Lingyu, Wu Bin & Wang Bai","Beijing University of Posts and Telecommunications, Beijing, China",Rumor detection; Stance mining; Attention; Neural networks,"Microblogging platforms are important social media in the Internet age. Considering the amount of users on microblogging platforms, the rumor spreading on microblogging platform could have a negative effect on individuals, groups and the whole society. Hence, automatic rumor detection is an important research issue. Stance information contains crucial features for rumor detection, because users discussing rumors tend to express more querying and denying stances. Moreover, different user stances have different importance. Motivated by this inspiration, in this paper, we propose a Rumor Detection Model with a Hybrid Stance Attention Mechanism (RDM-HSAM). The RDM-HSAM consists of four modules. The first module is a stance module, in which the tweet-level stance representation is constructed. The second module is the attention module in which a hybrid attention mechanism is used to construct the event-level stance representation of a microblogging event. The hybrid attention mechanism is consisted of two attention mechanisms, i.e. content attention mechanism and user attention mechanism which are applied at the stance information and user profile respectively. The third module is a rumor module which captures the content features and temporal features of a microblogging event. The fourth module is an integrate module in which event-level stance representations and rumor representations are concatenated together to detect rumors. Experiments on a real-world dataset from Weibo platform demonstrate that our proposed model RDM-HSAM improves the performance of rumor detection in terms of both efficiency and accuracy compared to other methods, and the accuracy of our model achieves 94.9%.",International Conference on Web Engineering,2020,347-364,18,5,https://link.springer.com/chapter/10.1007/978-3-030-50578-3_24
Just the Right Mood for HIT!,"Sihang Qiu, Ujwal Gadiraju & Alessandro Bozzon","Web Information Systems Group, Delft University of Technology, Delft, Netherlands",Crowdsourcing; Conversational agent; Conversational style; Worker moods; Worker performance; Moods,"Conversational agents are playing an increasingly important role in providing users with natural communication environments, improving outcomes in a variety of domains in human-computer interaction. Crowdsourcing marketplaces are simultaneously flourishing, and it has never been easier to acquire large-scale human input from online workers. Recent works have revealed the potential of conversational interfaces in improving worker engagement and satisfaction. At the same time, worker moods have been shown to have significant effects on quality related outcomes. Little is known about the role of worker moods in shaping work in conversational microtask crowdsourcing. In this paper, we conducted a crowdsourcing study addressing 600 unique online workers, to investigate the role that worker moods play in conversational microtask crowdsourcing. We also explore whether suitable conversational styles of the agent can affect the performance of workers in different moods. Our results show that workers in a pleasant mood tend to produce significantly higher quality results (over 20%), exhibit greater engagement (an increase by around 19%) and report a lower cognitive load (by over 12%), and a suitable conversational style can have a significant impact on workers in different moods. Our findings advance the current understanding of conversational microtask crowdsourcing and have important implications on designing future conversational crowdsourcing systems.",International Conference on Web Engineering,2020,381-396,16,16,https://link.springer.com/chapter/10.1007/978-3-030-50578-3_26
